X,Y,OBJECTID,LOCATION_ID,COUNTY_ID,COUNTY_DESC,MUN_SORT,MUNICIPALITY,ROADNAME,ID_PREFIX,ID_RTE_NO,MP_SUFFIX,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,ROUTEID,ROUTEID_RH,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,STMP_SEQ,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AVMT,LINK,AADT_2010,AADT_2011,AADT_2012,AADT_2013,AADT_2014,AADT_2015,AADT_2016,AADT_2017,AADT_2018,AADT,AAWDT_2010,AAWDT_2011,AAWDT_2012,AAWDT_2013,AAWDT_2014,AAWDT_2015,AAWDT_2016,AAWDT_2017,AAWDT_2018,AAWDT,MOTORCYCLE_AADT,CAR_AADT,LIGHT_TRUCK_AADT,BUS_AADT,SINGLE_UNIT_AADT,COMBINATION_UNIT_AADT,LOC_ERROR,TRUCK_AADT,SUTRUCK_AADT_PCT_TRUCK,CUTRUCK__AADT_PCT_TRUCK,MCYCLE_AADT_PCT_OVERALL,CAR_AADT_PCT_OVERALL,LIGHT_TRUCK_AADT_PCT_OVERALL,BUS_AADT_PCT_OVERALL,SUTRUCK_AADT_PCT_OVERALL,CUTRUCK_AADT_PCT_OVERALL,TRUCK_AADT_PCT_OVERALL,NUM_LANES_ANNO,K_FACTOR_ANNO,D_FACTOR_ANNO,NORTH_EAST_SPLIT_ANNO,SOUTH_WEST_SPLIT_ANNO,AADT_2010_ANNO,AADT_2011_ANNO,AADT_2012_ANNO,AADT_2013_ANNO,AADT_2014_ANNO,AADT_2015_ANNO,AADT_2016_ANNO,AADT_2017_ANNO,AADT_2018_ANNO,AADT_ANNO,AAWDT_2010_ANNO,AAWDT_2011_ANNO,AAWDT_2012_ANNO,AAWDT_2013_ANNO,AAWDT_2014_ANNO,AAWDT_2015_ANNO,AAWDT_2016_ANNO,AAWDT_2017_ANNO,AAWDT_2018_ANNO,AAWDT_ANNO,MOTORCYCLE_AADT_ANNO,CAR_AADT_ANNO,BUS_AADT_ANNO,LIGHT_TRUCK_AADT_ANNO,SINGLE_UNIT_AADT_ANNO,COMBINATION_UNIT_AADT_ANNO,TRUCK_AADT_ANNO
-8588619.9527,4733675.0781,1296,S2012150977,15,Montgomery,130,Rockville,S Washington St,MU,3150,  ,0.37,0,0.4,S Washington St - Between Md 28 & E Montgomery Ave,Argyle St To E Montgomery Ave At Courthouse Sq,Urban,7,Local,15130MU03150  01NN**************,15130MU03150--1-----,1,South,2,F,0,8.07,50,45.1,54.9,0.7389,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150977,,,5100,5111,5102,5243,5344,5475,5060,5061,,,5510,5521,5462,5613,5724,5865,5410,5371,,,,,,,NO ERROR,,,,,,,,,,,2,8.07,50,45.1,54.9,N/A,N/A,"5,100","5,111","5,102","5,243","5,344","5,475","5,060","5,061",N/A,N/A,"5,510","5,521","5,462","5,613","5,724","5,865","5,410","5,371",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8608000.646,4732785.3389,1298,B2815,15,Montgomery,0,None,River Rd,MD,190,  ,0.1,0,3.03,Md190-.10 Mi E Of Md112,Md 112 To Travilah Rd,Rural,5,Major Collector,15000MD00190  01EE**************,15000MD00190--1-----,1,East,2,C,0,10.89,85.81,51.62,48.38,4.081,https://maps.roads.maryland.gov/itms_public/?stationid=B2815,3623,3554,3565,3380,3381,3462,3543,3624,3605,3690,3803,3844,3785,3620,3581,3672,3793,3844,3825,3910,,,,,,,NO ERROR,,,,,,,,,,,2,10.89,85.81,51.62,48.38,"3,623","3,554","3,565","3,380","3,381","3,462","3,543","3,624","3,605","3,690","3,803","3,844","3,785","3,620","3,581","3,672","3,793","3,844","3,825","3,910",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8605830.1379,4759966.0687,1307,B150121,15,Montgomery,0,None,Little Bennett Dr,CO,7560,  ,0.1,0,0.213,Little Bennett Dr-.10 Mi W Of Md355,Md 355 To Cul De Sac,Rural,7,Local,15000CO07560  01WW**************,15000CO07560--1-----,1,East,2,F,0,11.01,66.67,52.29,47.71,0.0081,https://maps.roads.maryland.gov/itms_public/?stationid=B150121,91,92,93,94,95,100,101,102,103,104,101,102,103,104,105,110,111,112,113,114,,,,,,,NO ERROR,,,,,,,,,,,2,11.01,66.67,52.29,47.71,91,92,93,94,95,100,101,102,103,104,101,102,103,104,105,110,111,112,113,114,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8603314.364,4736758.9355,1308,B2709,15,Montgomery,0,None,Darnestown Rd,MD,28,  ,13.62,13.18,14.64,Md28-.10 Mi E Of Turkey Foot Rd,Md 112 To Ancient Oak Dr,Urban,4,Minor Arterial,15000MD00028  01EE**************,15000MD00028--1-----,1,West,2,F,2,9.3,69.03,49.83,50.17,7.4611,https://maps.roads.maryland.gov/itms_public/?stationid=B2709,13621,13682,13540,13571,13532,12180,12411,12712,14000,14001,14571,14782,14620,14661,14482,13030,13281,13602,14980,14841,63,10978,2046,70,701,143,NO ERROR,844,0.83056872,0.16943128,0.00449968,0.78408685,0.14613242,0.00499964,0.05006785,0.01021356,0.06028141,2,9.3,69.03,49.83,50.17,"13,621","13,682","13,540","13,571","13,532","12,180","12,411","12,712","14,000","14,001","14,571","14,782","14,620","14,661","14,482","13,030","13,281","13,602","14,980","14,841",63,"10,978",70,"2,046",701,143,844
-8616783.0431,4747993.7493,1315,B2756,15,Montgomery,0,None,Beallsville Rd,MD,109,  ,2.91,2.41,6.03,Md109-.50 Mi N Of Md28,Md 28 To Barnesville Rd,Rural,5,Major Collector,15000MD00109  01NN**************,15000MD00109--1-----,1,North,2,C,0,9.91,61.18,49.68,50.32,2.1009,https://maps.roads.maryland.gov/itms_public/?stationid=B2756,1510,1481,1482,1600,1601,1642,1520,1551,1542,1590,1590,1601,1572,1710,1701,1742,1630,1641,1642,1690,15,1017,379,8,136,35,NO ERROR,171,0.79532164,0.20467836,0.00943396,0.63962264,0.23836478,0.00503145,0.08553459,0.02201258,0.10754717,2,9.91,61.18,49.68,50.32,"1,510","1,481","1,482","1,600","1,601","1,642","1,520","1,551","1,542","1,590","1,590","1,601","1,572","1,710","1,701","1,742","1,630","1,641","1,642","1,690",15,"1,017",8,379,136,35,171
-8589080.7267,4729864.7539,1334,S2017150196,15,Montgomery,0,None,Ramp 12 Fr Ramp 8 To Park Potomac Ave,RP,270,  ,0.06,0,0.23,Exit 4 Ramp 12 Fr Ramp 8 To Park Potomac Ave,Exit 4  Ramp 12 Fr Ramp 8 To Park Potomac,Urban,1,Interstate,15000RP00270  02WWIS4         12,15000RP00270--100412,2,West,1,F,0,9.49,100,0,100,0.0715,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150196,,,,,,,,840,841,852,,,,,,,,870,881,892,,,,,,,NO ERROR,,,,,,,,,,,1,9.49,100,0,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,840,841,852,N/A,N/A,N/A,N/A,N/A,N/A,N/A,870,881,892,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8589042.8506,4721833.5324,1336,B2970,15,Montgomery,0,None,Capital Beltway,IS,495,  ,3.07,2.37,3.95,Is495-.70 Mi E Of Md190,Md 190 To Is 270y,Urban,1,Interstate,15000IS00495  01EE**************,15000IS00495--1-----,1,West,8,C,1,6.98,50.95,49.71,50.29,147.1104,https://maps.roads.maryland.gov/itms_public/?stationid=B2970,220901,221122,222233,244020,243781,249632,243060,248891,247402,255090,234161,234392,235573,258660,255971,262112,255210,258851,257302,265290,,,,,,,NO ERROR,,,,,,,,,,,8,6.98,50.95,49.71,50.29,"220,901","221,122","222,233","244,020","243,781","249,632","243,060","248,891","247,402","255,090","234,161","234,392","235,573","258,660","255,971","262,112","255,210","258,851","257,302","265,290",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8579871.0207,4725876.352,1339,B2827,15,Montgomery,0,None,Metropolitan Ave,MD,192,  ,0.49,0.29,2.14,Md192-.10 Mi E Of Md185,Plyers Mill Rd (back) To Seminary Rd,Urban,4,Minor Arterial,15000MD00192  01EE**************,15000MD00192--1-----,1,West,2,C,0,8.31,58.4,48.47,51.53,6.8808,https://maps.roads.maryland.gov/itms_public/?stationid=B2827,8921,8962,8893,8680,8651,8882,9053,9274,9195,10190,9551,9682,9603,9370,9261,9502,9693,9924,9845,10800,21,8375,1320,75,364,35,NO ERROR,399,0.9122807,0.0877193,0.00206084,0.8218842,0.12953876,0.00736016,0.0357213,0.00343474,0.03915604,2,8.31,58.4,48.47,51.53,"8,921","8,962","8,893","8,680","8,651","8,882","9,053","9,274","9,195","10,190","9,551","9,682","9,603","9,370","9,261","9,502","9,693","9,924","9,845","10,800",21,"8,375",75,"1,320",364,35,399
-8588475.1704,4760126.9696,1349,B150089,15,Montgomery,0,None,Damascus Rd,MD,108,  ,3.42,3.32,4.44,Md108-.10 Mi E Of Annapolis Rock Rd,Annapolis Rock Rd To Md 650,Rural,4,Minor Arterial,15000MD00108  01EE**************,15000MD00108--1-----,1,East,2,F,1,10.69,82.73,50.01,49.99,3.6428,https://maps.roads.maryland.gov/itms_public/?stationid=B150089,8351,8192,7880,7841,7832,8023,8204,8385,8800,8911,8771,8852,8350,8391,8302,8503,8784,8805,9240,9271,,,,,,,NO ERROR,,,,,,,,,,,2,10.69,82.73,50.01,49.99,"8,351","8,192","7,880","7,841","7,832","8,023","8,204","8,385","8,800","8,911","8,771","8,852","8,350","8,391","8,302","8,503","8,784","8,805","9,240","9,271",N/A,N/A,N/A,N/A,N/A,N/A,N/A
-8594115.4033,4742228.9431,1355,S2012150919,15,Montgomery,63,Gaithersburg,Chestnut St,MU,40,  ,0.04,0,0.29,Chestnut St - Between Md 355 & E Diamond Ave,Frederick Rd To W Diamond Ave,Urban,6,Minor Collector,15063MU00040  01SS**************,15063MU00040--1-----,1,South,3,F,0,8.23,55.15,43.51,56.49,0.7908,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150919,,,7960,7981,7962,8173,8334,8535,7470,7471,,,8600,8621,8522,8753,8924,9055,7920,8221,,,,,,,NO ERROR,,,,,,,,,,,3,8.23,55.15,43.51,56.49,N/A,N/A,"7,960","7,981","7,962","8,173","8,334","8,535","7,470","7,471",N/A,N/A,"8,600","8,621","8,522","8,753","8,924","9,055","7,920","8,221",N/A,N/A,N/A,N/A,N/A,N/A,N/A
